date,day,start,end,duration_min,sort_order,item_order,id,parent_id,row_type,session,session_name,title,speaker,affiliation,type,room,description
,,,,,,4,,,talk,11,,Boundaries and Creases for Spline Surfaces with Extraordinary Vertices,"Param Gupta, Kestutis Karciauskas and Jorg Peters",,,,
,,,,,,5,,,talk,11,,Holder–Minkowski Implicits: Associative and Truly Generalized Averaging Operators for Expanding the Design Space of Implicitly Represented Shapes,"Tolga Yildiz, Vinayak Krishnamurthy and Ergun Akleman",,,,
,,,,,,6,,,talk,11,,Efficient and Accurate Bernstein Polynomial Composition via Monomial-Basis Transformation,"Tong Shen, Shiqing Xin and Jieqing Feng",,,,
,,,,,,7,,,talk,11,,KDH-CAD: Knowledge–data hybrid CAD learning under data scarcity,"Ziqing Gao, Zhijie Yang, Yaonaiming Zhao and Qiang Zou",,,,
2026-07-09,Day 04,14:40,15:20,,6,,,,event,,,Coffee Break,,,Break,,
2026-07-09,Day 04,15:20,16:00,,7,,,,event,,,"Symmetry, Steadiness, and other Revelations (Online)",Jarek Rossignac (Recipient of the 2026 Tosiyasu L. Kunii Award),,Invited Talk,,Invited Talk
2026-07-09,Day 04,16:00,16:20,,8,,,,event,,,Shape Modeling for Engineering Design and Manufacturing,Qiang Zou (Recipient of the 2026 SMI Young Investigator Award),,Invited Talk,,Invited Talk
2026-07-09,Day 04,16:20,16:40,,9,,,,event,,,Toward Compact and Structured Representations of Detailed 3D Shapes,Congyi Zhang (Recipient of the 2026 SMI Young Investigator Award),,Invited Talk,,Invited Talk
2026-07-09,Day 04,16:40,17:00,,10,,,,event,,,Coffee Break,,,Break,,
2026-07-09,Day 04,17:00,17:20,,11,,,,event,,,Shaping natural landscapes through simulation,Guillaume Cordonnier (Recipient of the 2025 SMI Young Investigator Award),,Invited Talk,,Invited Talk
2026-07-09,Day 04,17:20,17:40,,12,,,,event,,,Scribbles to Structures: The Geometry of Creative Intent,Amal Dev Parakkat (Recipient of the 2025 SMI Young Investigator Award),,Invited Talk,,Invited Talk
2026-07-09,Day 04,17:40,18:10,,13,,,,event,,,SPM/SMI Best Paper Awards + Closing,,,SPM/SMI,,
